sample_id,phenotype
bunderbosbeek_1,limburg
bunderbosbeek_2,limburg
bunderbosbeek_3,limburg
bunderbosbeek_4,limburg
oudebeek_1,veluwe
oudebeek_2,veluwe
oudebeek_3,veluwe
oudebeek_4,veluwe
seelbeek_1,veluwe
seelbeek_2,veluwe
seelbeek_3,veluwe
seelbeek_4,veluwe
straberkervloedgraaf_1,limburg
straberkervloedgraaf_2,limburg
straberkervloedgraaf_3,limburg
straberkervloedgraaf_4,limburg
