sample_id,location,stage,year,day,number
st_2,strabekervloedgraaf,eggs,2,1,1
st_2,strabekervloedgraaf,eggs,2,2,5
st_2,strabekervloedgraaf,eggs,2,3,18
st_2,strabekervloedgraaf,eggs,2,4,42
st_2,strabekervloedgraaf,eggs,2,5,80
st_2,strabekervloedgraaf,eggs,2,6,129
st_2,strabekervloedgraaf,eggs,2,7,185
st_2,strabekervloedgraaf,eggs,2,8,245
st_2,strabekervloedgraaf,eggs,2,9,303
st_2,strabekervloedgraaf,eggs,2,10,361
st_2,strabekervloedgraaf,eggs,2,11,418
st_2,strabekervloedgraaf,eggs,2,12,474
st_2,strabekervloedgraaf,eggs,2,13,530
st_2,strabekervloedgraaf,eggs,2,14,584
st_2,strabekervloedgraaf,eggs,2,15,637
st_2,strabekervloedgraaf,eggs,2,16,690
st_2,strabekervloedgraaf,eggs,2,17,742
st_2,strabekervloedgraaf,eggs,2,18,793
st_2,strabekervloedgraaf,eggs,2,19,843
st_2,strabekervloedgraaf,eggs,2,20,892
st_2,strabekervloedgraaf,eggs,2,21,941
st_2,strabekervloedgraaf,eggs,2,22,988
st_2,strabekervloedgraaf,eggs,2,23,1035
st_2,strabekervloedgraaf,eggs,2,24,1082
st_2,strabekervloedgraaf,eggs,2,25,1127
st_2,strabekervloedgraaf,eggs,2,26,1172
st_2,strabekervloedgraaf,eggs,2,27,1216
st_2,strabekervloedgraaf,eggs,2,28,1260
st_2,strabekervloedgraaf,eggs,2,29,1302
st_2,strabekervloedgraaf,eggs,2,30,1344
st_2,strabekervloedgraaf,eggs,2,31,1386
st_2,strabekervloedgraaf,eggs,2,32,1426
st_2,strabekervloedgraaf,eggs,2,33,1466
st_2,strabekervloedgraaf,eggs,2,34,1506
st_2,strabekervloedgraaf,eggs,2,35,1542
st_2,strabekervloedgraaf,eggs,2,36,1572
st_2,strabekervloedgraaf,eggs,2,37,1596
st_2,strabekervloedgraaf,eggs,2,38,1610
st_2,strabekervloedgraaf,eggs,2,39,1618
st_2,strabekervloedgraaf,eggs,2,40,1620
st_2,strabekervloedgraaf,eggs,2,41,1621
st_2,strabekervloedgraaf,eggs,2,42,1621
st_2,strabekervloedgraaf,eggs,2,43,1621
st_2,strabekervloedgraaf,eggs,2,44,1621
st_2,strabekervloedgraaf,eggs,2,45,1621
st_2,strabekervloedgraaf,eggs,2,46,1621
st_2,strabekervloedgraaf,eggs,2,47,1621
st_2,strabekervloedgraaf,eggs,2,48,1621
st_2,strabekervloedgraaf,eggs,2,49,1621
st_2,strabekervloedgraaf,eggs,2,50,1621
st_2,strabekervloedgraaf,eggs,2,51,1621
st_2,strabekervloedgraaf,eggs,2,52,1621
st_2,strabekervloedgraaf,eggs,2,53,1621
st_2,strabekervloedgraaf,eggs,2,54,1621
st_2,strabekervloedgraaf,eggs,2,55,1621
st_2,strabekervloedgraaf,eggs,2,56,1621
st_2,strabekervloedgraaf,eggs,2,57,1621
st_2,strabekervloedgraaf,eggs,2,58,1621
st_2,strabekervloedgraaf,eggs,2,59,1621
st_2,strabekervloedgraaf,eggs,2,60,1621
st_2,strabekervloedgraaf,eggs,2,61,1621
st_2,strabekervloedgraaf,eggs,2,62,1621
st_2,strabekervloedgraaf,eggs,2,63,1621
st_2,strabekervloedgraaf,eggs,2,64,1621
st_2,strabekervloedgraaf,eggs,2,65,1621
st_2,strabekervloedgraaf,eggs,2,66,1621
st_2,strabekervloedgraaf,eggs,2,67,1621
st_2,strabekervloedgraaf,eggs,2,68,1621
st_2,strabekervloedgraaf,eggs,2,69,1621
st_2,strabekervloedgraaf,eggs,2,70,1621
st_2,strabekervloedgraaf,eggs,2,71,1621
st_2,strabekervloedgraaf,eggs,2,72,1621
st_2,strabekervloedgraaf,eggs,2,73,1621
st_2,strabekervloedgraaf,eggs,2,74,1621
st_2,strabekervloedgraaf,eggs,2,75,1621
st_2,strabekervloedgraaf,eggs,2,76,1621
