feature_id,MM_1,MM_2,MM_3,MM_4,LA1330_1,LA1330_2,LA1330_3,LA1330_4,PI127826_1,PI127826_2,PI127826_3,PI127826_4,LYC4_1,LYC4_2,LYC4_3,LYC4_4,LA0716_1,LA0716_2,LA0716_3,LA0716_4,LA1028_1,LA1028_2,LA1028_3,LA1028_4,LA1777_1,LA1777_2,LA1777_3,LA1777_4,LA1840_1,LA1840_2,LA1840_3,LA1840_4
rt-0.46_mz-62.02378,36950,30328,33116,15462,22684,16482,37468,11604,33852,15704,39434,21296,23540,14622,9456,25062,10910,18144,11524,10696,17612,20162,23426,19174,41458,24668,21024,41086,12588,29622,15266,15274
rt-0.47_mz-138.97263,862,786,668,850,1060,780,956,648,722,844,762,732,202,608,520,442,206,358,332,270,410,1146,506,560,1084,840,1178,654,298,508,442,392
rt-0.47_mz-198.94006,54592,69632,65904,65300,47796,31630,52126,43706,68152,55764,65434,61190,58836,59942,59296,75212,63210,58022,57888,59620,56528,52968,65654,61522,51622,33232,29416,29154,57266,61862,76240,66330
rt-0.47_mz-216.95049,8338,10390,10678,9870,6128,5568,8198,6846,9558,8500,8800,8550,8734,8698,7862,10150,7954,8080,9052,7646,9164,9252,9998,9886,7386,5894,3942,4724,9864,8804,11094,9278
rt-0.47_mz-232.9275,2318,4642,4268,5684,2072,1268,2022,3158,4196,3404,3076,2758,4950,5528,6254,7410,8588,7964,9588,12416,4236,2396,7124,4056,1950,1392,944,1038,5890,3648,7712,5470
rt-0.47_mz-328.8978,7616,9978,10134,11702,6320,4112,5942,7932,10528,8666,9790,9044,10076,13390,12184,16934,14672,13960,14472,15136,9546,7996,14340,11486,5120,2872,2612,2122,11574,10468,15608,12006
rt-0.47_mz-340.94641,2020,2548,1974,1898,2732,2456,2694,1728,2292,2018,2306,2034,1150,1340,1388,1372,1354,1062,1366,996,1588,2838,1768,2156,2354,2570,2956,2336,2000,1586,1574,1774
rt-0.47_mz-348.94119,900,990,950,1078,952,1112,1346,840,934,740,1090,978,884,424,592,1008,474,548,550,434,894,982,754,726,962,1046,700,666,594,738,788,1114
rt-0.47_mz-442.87782,9132,12208,12740,14232,6748,5098,8816,6606,11524,8940,11684,9868,10828,10378,9904,13950,10032,9938,8586,9130,10138,8020,11896,10284,7090,4040,2838,2778,11034,10464,13776,13198
rt-0.47_mz-470.90315,1882,3396,3086,3366,2504,1928,2736,2198,3524,2826,2640,2832,2138,2124,2258,2064,2314,1808,2372,2080,2908,3120,2662,2488,2700,2624,2160,1328,2844,2500,3094,2680
rt-0.47_mz-486.88173,1302,2090,1978,2732,1130,1298,1286,1830,1822,1916,1824,2100,2470,3700,2972,4408,3716,3662,3548,4930,2280,1156,4408,1744,1044,1112,476,496,3722,2054,4326,2388
rt-0.47_mz-538.89055,3124,2688,2940,2752,2816,2050,2282,1872,2676,2752,2250,2554,1920,2294,2436,2664,1924,1710,2150,1474,2272,3060,2100,3276,2188,1838,2404,1764,2340,2826,2090,2872
rt-0.47_mz-606.87781,2898,3154,3086,3008,2948,2490,2738,2160,2058,2134,2030,2342,2204,3052,2184,2168,2106,1678,1830,1110,2444,2960,2738,3032,2432,1566,1680,1644,2820,2720,2218,3378
rt-0.47_mz-70.51488,1558,1686,1566,1436,806,722,1328,880,1620,1110,2360,1354,988,786,842,1326,1200,1304,1246,1548,980,902,1406,1126,1540,942,566,1992,992,1420,1044,1156
rt-0.48_mz-408.93377,6988,4786,4820,5438,7158,5562,6820,5282,5394,4550,6706,5414,3206,4112,3490,3446,2700,3036,2654,1764,5616,6382,3942,5032,7252,6088,7232,6896,4304,5816,2960,4400
rt-0.48_mz-478.9192,1620,930,1278,1056,1290,802,1432,646,980,694,724,706,624,886,566,770,632,544,494,218,1196,1292,728,794,1104,864,1104,882,794,1066,630,1006
rt-0.48_mz-622.85581,1692,3106,3716,3366,1144,1458,1964,2148,2142,2174,2510,2014,2898,3308,3046,3810,4374,2920,3940,4342,3026,1830,3750,2806,1086,1042,912,936,3692,2964,5046,2996
rt-0.48_mz-674.8651,2660,2940,2684,1896,2338,2224,1774,2414,2430,1718,1970,1932,2038,1682,1448,1838,1762,1626,1430,892,2092,2334,1908,2920,1460,1708,1420,1850,1938,2284,1792,2698
rt-0.48_mz-742.85207,1570,1786,1696,1444,2036,1408,1288,1374,1140,1100,1574,974,1384,1074,1438,1394,974,950,1068,826,1586,1654,1094,1954,1012,894,1308,1112,1540,1654,1184,1248
rt-0.49_mz-252.9481,1616,962,1148,938,1204,832,1334,760,1076,810,962,878,612,760,460,920,572,698,460,270,922,1236,686,754,1246,1178,1144,1058,750,924,430,878
rt-0.49_mz-318.93738,10390,7684,6844,5604,8662,7140,7264,5402,5710,5276,5420,5600,4196,4858,3984,3458,2436,3024,3106,1994,5452,9662,4902,6766,5338,5706,6278,5662,5532,5820,4324,5840
rt-0.49_mz-356.92376,2524,3954,2574,3458,2228,1978,2830,2478,2974,2828,2480,2918,2640,3638,4010,4578,4456,3380,1614,4252,3574,2352,3772,3440,2236,1414,1710,1908,3484,3664,4722,4014
rt-0.49_mz-424.91103,3710,5034,4312,4488,3736,3082,4250,4064,4288,4178,4002,4620,4558,5014,5022,6462,5412,5100,4564,5800,4474,3972,6314,4744,4006,3292,3106,2852,3968,4378,5632,5832
rt-0.49_mz-426.90959,1030,1124,950,1150,928,566,786,776,1120,1116,1270,1386,976,1002,946,1116,718,840,896,1218,1198,776,1250,934,886,1450,870,1426,992,856,1282,800
rt-0.49_mz-476.92116,3784,3450,2844,2158,2524,2510,3148,2110,2072,1960,2232,2198,2022,2414,1916,1732,1120,1328,1002,1076,2332,3282,2046,2938,2912,2554,2626,2732,1840,3812,1842,2404
rt-0.49_mz-477.92256,1372,1294,1012,928,1036,868,1418,1074,974,998,1034,664,570,718,862,738,450,722,488,388,870,1620,566,968,1090,882,1192,790,716,1184,736,1140
rt-0.49_mz-492.89823,3300,3048,3964,3718,2106,2424,3246,3404,3128,3530,3252,3184,4020,4562,3748,4630,4504,3092,3100,3490,3868,3526,3618,4490,2108,1776,2158,2542,5076,3694,4844,4730
rt-0.49_mz-544.9085,2760,2678,3428,1514,2498,2236,2742,1878,1510,1656,1622,1876,1826,1606,1076,1396,1040,1328,946,720,1994,3382,1516,1992,1934,1796,2100,1782,1606,2340,1164,2170
rt-0.49_mz-545.90991,1226,852,860,698,1146,796,1214,826,778,560,778,828,540,778,632,702,436,534,516,386,896,1376,530,1004,882,684,908,706,488,928,562,992
