feature_id,group1_1,group1_2,group1_3,group1_4,group2_1,group2_2,group2_3,group2_4,group3_1,group3_2,group3_3,group3_4,group4_1,group4_2,group4_3,group4_4
feature_3079,0,260,236,264,2672,2272,2172,2988,204,194,400,460,3920,3346,4220,7866
feature_3083,9364,7730,12612,31356,16132,16454,11502,19538,1536,7226,8244,53894,21636,18186,24548,56400
feature_3084,778,668,1160,5112,1908,2132,1390,3470,0,0,0,12080,2776,3056,4166,12572
feature_3089,936,1026,1070,1046,634,488,118,992,0,998,530,1312,544,0,486,826
feature_309,0,0,0,0,1280,420,850,940,0,0,0,0,1754,1582,2564,10094
feature_3090,814,732,950,2334,3438,4208,3620,5260,0,786,614,2514,5062,5226,6082,9120
feature_3091,512,732,482,232,2616,1922,1678,1716,762,1002,206,720,1476,1660,1190,1294
feature_3092,2408,1638,3144,0,7156,4302,3636,3166,784,2818,0,0,5714,3982,4596,1012
feature_3098,0,0,1082,0,2106,2602,6900,2892,0,0,110,0,5160,3874,2746,0
feature_310,259964,183310,249346,135382,91616,89224,89360,110864,12686,15676,12740,13874,65238,153408,80382,113234
feature_3100,194,0,360,6068,1268,1022,918,2762,0,0,706,10908,0,1884,4514,31606
feature_3101,0,0,0,196,524,326,616,332,0,0,1072,370,388,254,608,308
feature_3103,20712,10728,19732,17518,514,854,634,444,2362,3640,0,5798,17216,19770,10628,21044
feature_3104,132,0,0,338,510,456,380,1316,0,158,1226,818,1558,780,2518,6440
feature_3105,1990,1348,2772,2384,4518,3422,2854,3628,0,298,0,560,4274,4840,3254,8166
feature_3106,344,482,798,472,5568,4282,4166,3536,0,102,180,0,4144,6372,3068,10550
feature_3107,0,70,1034,0,784,1018,6042,3982,0,0,0,0,850,5032,3508,0
feature_3108,372,232,392,0,4876,4138,3330,3634,530,614,0,0,6406,4348,3780,0
feature_3109,0,0,0,0,452,280,2730,3760,0,0,0,0,478,2568,3276,0
feature_3113,0,0,0,0,3734,938,3546,780,0,0,0,0,13288,2056,6306,6162
feature_3116,0,0,0,0,3412,2422,3518,4862,0,0,0,0,0,3492,4942,10656
feature_3117,924,900,738,898,10410,9166,6900,9104,152,0,0,248,18562,8286,14662,6988
feature_3119,0,0,106,0,3718,1192,1570,600,190,0,0,0,2996,1210,4390,1538
feature_312,4896,3162,5764,3426,1694,1618,1776,2146,268,0,0,232,0,0,1834,3110
feature_3121,2264,1512,2704,0,5700,4672,3602,3192,908,3048,0,0,3204,1994,2126,0
feature_3123,426,340,650,436,12060,5352,6656,4268,0,0,0,230,8710,8478,10096,7182
feature_3126,8120,4958,7498,6424,32680,13998,12578,14792,1436,5692,1536,8038,14750,20398,14462,19414
